episode,timestep,reward,if_collision,collision_rate,adversarial_counts,epsilon,av_speed_avg,av_total_risk_avg,av_distance,av_running_time,av_acc_avg,av_dece_avg,av_left_avg,av_right_avg
0,3000,-8788.8929,0,0,0,0,1.576731043843056,0.23534662765275974,472.99183839368607,360.1,3.0,nan,0.09766666666666667,0.09333333333333334
1,6000,-8651.7418,0,0,0,0,1.8557418981481268,0.4629386206738646,556.6137407799743,360.1,3.0,nan,0.09233333333333334,0.08166666666666667
2,9000,-8857.3721,0,0,0,0,1.308158346700587,0.3695163386347487,392.27321532069294,360.1,3.0,nan,0.08533333333333333,0.09233333333333334
3,12000,-8240.4496,0,0,0,0,2.9254152527901205,0.5037119199441817,877.3885960408164,360.1,3.0,nan,0.09966666666666667,0.10233333333333333
4,15000,-8281.8656,0,0,0,0,2.7820992806487435,0.35774728911785775,833.784469229065,360.1,3.0,nan,0.098,0.08466666666666667
5,18000,-8322.0702,0,0,0,0,2.676338973376438,0.45137109933841096,802.3956839731472,360.1,3.0,nan,0.08566666666666667,0.10633333333333334
6,21000,-6944.6749,0,0,0,0,6.449681358702395,0.7333753597398756,1934.898515661857,360.1,3.0,nan,0.105,0.094
7,23574,-1772.3977,1,0,0,0,24.706052525632963,0.5096015952870303,6356.492800755006,317.5,3.0,nan,0.09751359751359752,0.07420357420357421
8,26531,-273.8149,0,0,0,0,23.6570341368133,0.37436072284520355,6992.512281886218,355.8,3.0,-2.154698856596899,0.09029421711193777,0.06865065945214745
9,29531,-1693.8404,0,0,0,0,23.164410402054102,0.5402639078352479,6946.306745920514,360.1,3.0,nan,0.091,0.087
10,32531,-866.2377,0,0,0,0,22.734084069129995,0.41582063457068885,6817.442327601553,360.1,3.0,nan,0.115,0.08166666666666667
11,35137,-149.7065,0,0,0,0,26.846838545725586,0.4433118647326231,6993.798714047918,320.7,3.0,-3.5874056387164406,0.09401381427475057,0.10706062931696086
12,37921,-412.4893,0,0,0,0,25.132988404952144,0.42876636402317536,6994.425195897102,338.5,3.0,-1.2232744959066175,0.11422413793103449,0.07399425287356322
13,40862,-716.9633,0,0,0,0,23.7842958946541,0.363081144470513,6992.144539996734,354.2,3.0,-3.8143304205522797,0.09962597755865352,0.0782046922815369
14,41757,-242.6135,0,0,0,0,22.285033973016333,0.38664498887563487,1991.8099446596152,149.6,2.997104777487772,nan,0.11731843575418995,0.07374301675977654
15,44360,-120.6918,0,0,0,0,26.87682373583861,0.3979194195696859,6993.225690047009,320.4,2.999168518403207,nan,0.09565885516711486,0.08643872454859777
16,47049,491.6882,0,0,0,0,26.01903603910276,0.2653577822921792,6993.831779930877,329.0,2.999316230725632,nan,0.08144291558200074,0.11640014875418371
17,49676,336.0168,0,0,0,0,26.637701803426058,0.39407090940745754,6994.5629818750385,322.8,2.999957982589304,nan,0.07955843167110772,0.13056718690521507
18,52615,-587.3279,0,0,0,0,23.803505454685293,0.466150675108367,6992.5111608067255,354.0,2.9997874036449144,nan,0.092208234093229,0.1231711466485199
