episode,timestep,reward,if_collision,collision_rate,adversarial_counts,epsilon,av_speed_avg,av_total_risk_avg,av_distance,av_running_time,av_acc_avg,av_dece_avg,av_left_avg,av_right_avg
0,3000,-8783.4147,0,0,0,0,1.5638770892018532,0.3090412177932135,468.895513766621,360.1,3.0,nan,0.099,0.08833333333333333
1,4500,-4300.1211,1,0,0,0,2.0765329566124224,0.3177088593088735,311.4655326761837,210.1,3.0,nan,0.09933333333333333,0.09333333333333334
2,7318,-8261.3674,1,0,0,0,1.5040720101992051,0.38277837486692723,423.6058437663436,341.9,3.0,nan,0.09616749467707594,0.0936834634492548
3,10171,-8434.6044,1,0,0,0,1.273954912463633,0.3246876165688366,363.36933652587334,345.4,3.0,nan,0.08201892744479496,0.08902909218366632
4,13171,-8377.4598,0,0,0,0,2.493300974177138,0.38031805030823407,747.652218368139,360.1,3.0,nan,0.093,0.089
5,16111,-8628.1038,1,0,0,0,1.380199407993685,0.28551463219640855,405.61947536480284,354.1,3.0,nan,0.08707482993197278,0.08571428571428572
6,19000,-8307.0941,1,0,0,0,1.8366318607121985,0.3193023551497392,530.5565383097537,349.0,3.0,nan,0.08238144686742818,0.09311180339217723
7,21117,-5567.0882,1,0.8571428571428571,0,0.008231292934935075,3.7803967062345025,0.27131371997436254,799.0799684028918,271.8,3.0,nan,0.08927727916863486,0.09730751062824752
8,22567,-3935.9759,1,0.8571428571428571,0,0.008231292934935075,3.093374462108009,0.1706657887251567,447.54615499947175,205.1,3.0,nan,0.1,0.08620689655172414
9,24386,-4415.4415,0,0.8571428571428571,0,0.008231292934935075,5.480502178720652,0.38161928426338676,993.5643144835102,242.0,3.0,-0.5382031269727285,0.08466190214403518,0.09070918086860913
10,27386,-3305.6966,0,0.8571428571428571,0,0.008231292934935075,17.067648624054897,0.6044851652521371,5116.7727819701995,360.1,3.0,nan,0.08533333333333333,0.091
11,28560,-1149.4414,0,0.8571428571428571,0,0.008231292934935075,16.989962675166094,0.23238751263946927,1991.8267272217113,177.5,3.0,-1.2242840478810844,0.08262350936967632,0.10902896081771721
12,30959,-2798.9563,1,0.8571428571428571,0,0.008231292934935075,18.670234441331207,0.5339616908103804,4474.883703507125,300.0,3.0,nan,0.07544810337640684,0.09420591913297208
13,32735,-1535.9583,1,0.8571428571428571,0,0.008231292934935075,26.16980329505454,0.6448359770662283,4643.662550616031,237.7,3.0,nan,0.08952702702702703,0.07094594594594594
14,34485,-698.7109,1,0.8571428571428571,0,0.008231292934935075,21.865704264141794,0.26945061027655975,3823.006354093158,235.1,3.0,nan,0.124,0.08914285714285715
15,35795,-938.2962,1,0.8571428571428571,0,0.008231292934935075,23.569857020728772,0.2908950138293371,3084.1722419104767,191.1,3.0,nan,0.09618320610687023,0.07557251908396946
16,37350,-203.1856,1,0.6666666666666666,0,0.02458052378996689,25.107926990046778,0.4540972280341158,3900.858633737409,215.6,3.0,nan,0.09260450160771704,0.09646302250803858
17,39952,129.6886,0,0.6666666666666666,0,0.02458052378996689,26.88858140094639,0.4697837935764439,6993.6016725064255,320.3,2.9997483226049626,nan,0.1614142966948501,0.0668716372021522
18,41159,-566.2133,1,0.6666666666666666,0,0.02458052378996689,22.189181698546633,0.2935983134146711,2674.880129584307,180.8,3.0,nan,0.08616404308202154,0.10024855012427507
19,43634,-465.3591,0,0.6666666666666666,0,0.02458052378996689,28.266441763707412,0.5211217531786774,6992.645365665479,307.6,2.9989909890005784,nan,0.11474747474747475,0.10343434343434343
20,44311,-860.4648,0,0.6666666666666666,0,0.02458052378996689,14.7004279366449,0.4955730828618482,992.4338264616312,127.8,3.0,-2.1346552201291997,0.10782865583456426,0.0915805022156573
