episode,timestep,collision_counts,adversarial_counts,reward
79,195599,1,111031,21297.637
102,239910,1,155342,9263.8257
147,342944,1,258376,20992.0148
255,578806,1,494238,42748.6286
308,697148,1,612580,29180.631
433,971628,1,887060,57714.108
447,1003765,1,919197,5672.0952
523,1176669,1,1092101,30719.9701
720,1629800,1,1545232,93067.017
724,1638836,3,1554268,3174.252
892,2016548,1,1856870,50497.5226
1013,2285402,1,2125724,37497.8171
1059,2389190,1,2229512,14610.1166
1173,2642904,1,2483226,37930.2946
1257,2826744,1,2667066,38241.6195
1279,2878263,1,2718585,10516.538
